r,h,"FC1,2","FC2,1","FC2,2",FCsum,,,,,
2.3,5,5.87461,-8.42186,25.88941,9.02851,,,,,
2.4,1.5,1.50764,-2.07947,6.46369,2.30478,,,,,
2.4,1.55,1.57696,-2.14879,6.72362,2.40876,,,,,
2.4,1.6,1.62895,-2.23543,6.96623,2.47807,,,,,
2.4,1.65,1.69826,-2.32208,7.24349,2.58205,,,,,
2.4,1.7,1.75025,-2.40872,7.50342,2.6687,,,,,
2.4,1.75,1.81957,-2.49536,7.76336,2.75534,,,,,
2.4,1.8,1.88889,-2.58201,8.04062,2.85932,,,,,
2.4,1.85,1.94087,-2.66865,8.31788,2.96329,,,,,
2.4,1.9,1.99286,-2.7553,8.57782,3.04994,,,,,
2.4,1.95,2.06218,-2.84194,8.83775,3.13658,,,,,
2.4,2,2.13149,-2.92859,9.11501,3.24056,,,,,
2.4,2.05,2.18348,-3.01523,9.39227,3.34453,,,,,
2.4,2.1,2.2528,-3.11921,9.68687,3.43118,,,,,
2.4,2.15,2.32212,-3.20585,9.96413,3.53516,,,,,
2.4,2.2,2.3741,-3.27517,10.22406,3.63913,,,,,
2.4,2.25,2.44342,-3.37914,10.50133,3.72578,,,,,
2.4,2.3,2.51274,-3.46578,10.79592,3.82975,,,,,
2.4,2.35,2.56472,-3.56976,11.07318,3.93373,,,,,
2.4,2.4,2.65137,-3.6564,11.36777,4.0377,,,,,
2.4,2.45,2.70336,-3.76038,11.64503,4.12435,,,,,
2.4,2.5,2.77268,-3.84702,11.95695,4.22832,,,,,
2.4,2.55,2.84199,-3.95099,12.25155,4.3323,,,,,
2.4,2.6,2.91131,-4.03764,12.52881,4.43627,,,,,
2.4,2.65,2.98063,-4.14161,12.8234,4.54025,,,,,
2.4,2.7,3.04994,-4.24559,13.13532,4.64422,,,,,
2.4,2.75,3.10193,-4.34956,13.44724,4.7482,,,,,
2.4,2.8,3.17125,-4.4362,13.7245,4.85217,,,,,
2.4,2.85,3.24056,-4.50552,14.03643,4.97348,,,,,
2.4,2.9,3.30988,-4.60949,14.31369,5.07745,,,,,
2.4,2.95,3.3792,-4.71347,14.62561,5.18143,,,,,
2.4,3,3.44851,-4.81744,14.9202,5.2854,,,,,
2.4,3.05,3.51783,-4.92141,15.21479,5.37205,,,,,
2.4,3.1,3.58715,-5.00806,15.52671,5.49335,,,,,
2.4,3.15,3.65647,-5.11203,15.83863,5.59733,,,,,
2.4,3.2,3.72578,-5.216,16.13322,5.70131,,,,,
2.4,3.25,3.7951,-5.31998,16.46247,5.80528,,,,,
2.4,3.3,3.86442,-5.42395,16.77439,5.90926,,,,,
2.4,3.35,3.93373,-5.5106,17.08632,6.03056,,,,,
2.4,3.4,4.00305,-5.6319,17.41556,6.13454,,,,,
2.4,3.45,4.07237,-5.71854,17.69283,6.23851,,,,,
2.4,3.5,4.15901,-5.83985,18.03941,6.34249,,,,,
2.4,3.55,4.211,-5.92649,18.334,6.44646,,,,,
2.4,3.6,4.28032,-6.04779,18.66325,6.56777,,,,,
2.4,3.65,4.36696,-6.15177,18.97517,6.67174,,,,,
2.4,3.7,4.41895,-6.23841,19.30442,6.79305,,,,,
2.4,3.75,4.5056,-6.34238,19.61634,6.89702,,,,,
2.4,3.8,4.57491,-6.44636,19.92826,7.01832,,,,,
2.4,3.85,4.64423,-6.56766,20.27484,7.1223,,,,,
2.4,3.9,4.71355,-6.67163,20.60409,7.2436,,,,,
2.4,3.95,4.80019,-6.77561,20.91601,7.34758,,,,,
2.4,4,4.85218,-6.87958,21.22793,7.45156,,,,,
2.4,4.05,4.93883,-6.98355,21.57451,7.57286,,,,,
2.4,4.1,5.00814,-7.10486,21.90376,7.67684,,,,,
2.4,4.15,5.09479,-7.20883,22.233,7.79814,,,,,
2.4,4.2,5.16411,-7.3128,22.57958,7.93677,,,,,
2.4,4.25,5.23342,-7.43411,22.92616,8.02342,,,,,
2.4,4.3,5.32007,-7.53808,23.23808,8.14472,,,,,
2.4,4.35,5.37206,-7.65938,23.60199,8.2487,,,,,
2.4,4.4,5.4587,-7.76336,23.91391,8.37,,,,,
2.4,4.45,5.54535,-7.86733,24.24316,8.49131,,,,,
2.4,4.5,5.61467,-7.98863,24.58974,8.59528,,,,,
2.4,4.55,5.68398,-8.07528,24.91899,8.73392,,,,,
2.4,4.6,5.7533,-8.21391,25.28289,8.83789,,,,,
2.4,4.65,5.83995,-8.33521,25.62947,8.9592,,,,,
2.4,4.7,5.90926,-8.45651,25.97605,9.06317,,,,,
2.4,4.75,5.97858,-8.54316,26.32263,9.20181,,,,,
2.4,4.8,6.06523,-8.68179,26.68654,9.30578,,,,,
2.4,4.85,6.15187,-8.78576,27.03312,9.42709,,,,,
2.4,4.9,6.22119,-8.88974,27.36237,9.56572,,,,,
2.4,4.95,6.30784,-9.01104,27.72627,9.66969,,,,,
2.4,5,6.37715,-9.13234,28.09018,9.80833,,,,,
2.5,1.5,1.62895,-2.23543,6.96623,2.4954,,,,,
2.5,1.55,1.69826,-2.3394,7.24349,2.56472,,,,,
2.5,1.6,1.76758,-2.42605,7.53808,2.6687,,,,,
2.5,1.65,1.81957,-2.51269,7.79801,2.77267,,,,,
2.5,1.7,1.88889,-2.59934,8.09261,2.87665,,,,,
2.5,1.75,1.9582,-2.68598,8.36987,2.98062,,,,,
2.5,1.8,2.02752,-2.77263,8.66446,3.0846,,,,,
2.5,1.85,2.09684,-2.85927,8.95905,3.22323,,,,,
2.5,1.9,2.16615,-2.96325,9.23631,3.29255,,,,,
2.5,1.95,2.23547,-3.06722,9.53091,3.37919,,,,,
2.5,2,2.28746,-3.15386,9.8255,3.5005,,,,,
2.5,2.05,2.35677,-3.24051,10.12009,3.60447,,,,,
2.5,2.1,2.42609,-3.34448,10.41468,3.70845,,,,,
2.5,2.15,2.49541,-3.44846,10.7266,3.81242,,,,,
2.5,2.2,2.56472,-3.55243,11.03852,3.9164,,,,,
2.5,2.25,2.63404,-3.63907,11.31578,4.02037,,,,,
2.5,2.3,2.70336,-3.74305,11.62771,4.12435,,,,,
2.5,2.35,2.77268,-3.84702,11.93963,4.22832,,,,,
2.5,2.4,2.84199,-3.93366,12.25155,4.34963,,,,,
2.5,2.45,2.91131,-4.03764,12.56347,4.47093,,,,,
2.5,2.5,3.01528,-4.14161,12.89272,4.59224,,,,,
2.5,2.55,3.06727,-4.24559,13.20464,4.67888,,,,,
2.5,2.6,3.13659,-4.36689,13.51656,4.78286,,,,,
2.5,2.65,3.20591,-4.47086,13.84581,4.88683,,,,,
2.5,2.7,3.27522,-4.55751,14.1404,5.00814,,,,,
2.5,2.75,3.32721,-4.71347,14.45232,5.07745,,,,,
