x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
-2.5,5,4.66156,-3.81236,11.38510,-2.77258,2.20081
-2,-5,2.21814,-3.74305,11.41976,-2.87655,4.71355
-2,-4.5,2.28746,-4.00298,11.81832,-2.99785,4.52293
-2,-4,2.37410,-4.26291,12.19956,-3.10182,4.34963
-2,-3.5,2.46075,-4.48819,12.56347,-3.20579,4.15901
-2,-3,2.54740,-4.71347,12.89272,-3.29244,3.98572
-2,-2.5,2.63404,-4.92141,13.20464,-3.37908,3.82976
-2,-2,2.70336,-5.11203,13.46457,-3.44840,3.67379
-2,-1.5,2.82466,-5.25066,13.65519,-3.50038,3.53516
-2,-1,2.92864,-5.35464,13.81115,-3.55237,3.39653
-2,-0.5,3.03261,-5.40662,13.89779,-3.56970,3.27522
-2,0,3.15392,-5.42395,13.93245,-3.58702,3.15392
-2,0.5,3.27522,-5.40662,13.89779,-3.56970,3.03261
-2,1,3.39653,-5.35464,13.81115,-3.55237,2.92864
-2,1.5,3.53516,-5.23333,13.65519,-3.50038,2.80733
-2,2,3.67379,-5.09470,13.44724,-3.44840,2.72069
-2,2.5,3.82976,-4.92141,13.18731,-3.37908,2.61671
-2,3,4.00305,-4.71347,12.89272,-3.29244,2.54740
-2,3.5,4.15901,-4.50552,12.56347,-3.20579,2.46075
-2,4,4.33231,-4.24559,12.19956,-3.10182,2.37410
-2,4.5,4.52293,-4.00298,11.81832,-2.99785,2.28746
-2,5,4.71355,-3.72572,11.41976,-2.89388,2.21814
-1.5,-5,2.23547,-3.63907,11.43709,-2.99785,4.76554
-1.5,-4.5,2.30479,-3.86435,11.80099,-3.11915,4.57491
-1.5,-4,2.39143,-4.10695,12.18223,-3.24045,4.38429
-1.5,-3.5,2.46075,-4.33223,12.54614,-3.36175,4.19367
-1.5,-3,2.56472,-4.54018,12.87539,-3.46572,4.02038
-1.5,-2.5,2.65137,-4.73080,13.15265,-3.55237,3.84709
-1.5,-2,2.72069,-4.86943,13.39526,-3.62168,3.70845
-1.5,-1.5,2.84199,-5.00806,13.58587,-3.69100,3.56982
-1.5,-1,2.94597,-5.09470,13.74183,-3.74298,3.43119
-1.5,-0.5,3.06727,-5.14669,13.82848,-3.76031,3.30988
-1.5,0,3.17125,-5.16402,13.84581,-3.76031,3.17125
-1.5,0.5,3.29255,-5.14669,13.82848,-3.76031,3.06727
-1.5,1,3.41386,-5.09470,13.74183,-3.74298,2.94597
-1.5,1.5,3.55249,-5.00806,13.58587,-3.69100,2.84199
-1.5,2,3.70845,-4.88676,13.39526,-3.62168,2.73802
-1.5,2.5,3.86442,-4.73080,13.16998,-3.55237,2.63404
-1.5,3,4.02038,-4.54018,12.87539,-3.46572,2.54740
-1.5,3.5,4.21100,-4.34956,12.54614,-3.34442,2.46075
-1.5,4,4.36696,-4.10695,12.19956,-3.25778,2.39143
-1.5,4.5,4.55759,-3.88168,11.81832,-3.11915,2.30479
-1.5,5,4.76554,-3.65640,11.43709,-2.98052,2.23547
-1,-5,2.23547,-3.55243,11.45442,-3.11915,4.80019
-1,-4.5,2.32212,-3.76038,11.81832,-3.24045,4.60957
-1,-4,2.39143,-3.96832,12.18223,-3.37908,4.40162
-1,-3.5,2.47808,-4.15894,12.52881,-3.51771,4.21100
-1,-3,2.56472,-4.33223,12.84073,-3.63901,4.05504
-1,-2.5,2.65137,-4.50552,13.11799,-3.72565,3.88175
-1,-2,2.75535,-4.64415,13.34327,-3.81230,3.74311
-1,-1.5,2.84199,-4.76545,13.55122,-3.89894,3.58715
-1,-1,2.96330,-4.83477,13.67252,-3.93360,3.44851
-1,-0.5,3.06727,-4.88676,13.75916,-3.96825,3.30988
-1,0,3.18858,-4.90408,13.77649,-3.96825,3.18858
-1,0.5,3.30988,-4.90408,13.75916,-3.96825,3.06727
-1,1,3.44851,-4.81744,13.65519,-3.93360,2.96330
-1,1.5,3.58715,-4.76545,13.53389,-3.88161,2.85932
-1,2,3.74311,-4.64415,13.36060,-3.82963,2.75535
-1,2.5,3.88175,-4.50552,13.11799,-3.72565,2.65137
-1,3,4.05504,-4.34956,12.84073,-3.63901,2.56472
-1,3.5,4.22833,-4.17627,12.52881,-3.51771,2.47808
-1,4,4.40162,-3.96832,12.19956,-3.39641,2.39143
-1,4.5,4.59224,-3.76038,11.81832,-3.25778,2.32212
-1,5,4.80019,-3.55243,11.45442,-3.10182,2.23547
-0.5,-5,2.25280,-3.43113,11.45442,-3.22312,4.83485
-0.5,-4.5,2.32212,-3.62174,11.81832,-3.39641,4.60957
-0.5,-4,2.39143,-3.81236,12.18223,-3.53504,4.43628
-0.5,-3.5,2.49541,-4.00298,12.51148,-3.67367,4.24566
-0.5,-3,2.58205,-4.15894,12.82340,-3.81230,4.05504
-0.5,-2.5,2.66870,-4.29757,13.10066,-3.93360,3.89907
-0.5,-2,2.75535,-4.41887,13.32594,-4.02024,3.74311
-0.5,-1.5,2.87665,-4.52285,13.51656,-4.10688,3.60448
-0.5,-1,2.96330,-4.60949,13.65519,-4.15887,3.46584
-0.5,-0.5,3.08460,-4.64415,13.74183,-4.19353,3.34454
-0.5,0,3.18858,-4.66148,13.74183,-4.17620,3.18858
-0.5,0.5,3.32721,-4.62682,13.72450,-4.19353,3.08460
-0.5,1,3.44851,-4.59216,13.63786,-4.14154,2.96330
-0.5,1.5,3.60448,-4.52285,13.49923,-4.08955,2.85932
-0.5,2,3.74311,-4.41887,13.32594,-4.02024,2.77268
-0.5,2.5,3.89907,-4.29757,13.08333,-3.91627,2.66870
-0.5,3,4.05504,-4.15894,12.82340,-3.81230,2.58205
-0.5,3.5,4.24566,-4.00298,12.51148,-3.67367,2.49541
-0.5,4,4.41895,-3.82969,12.18223,-3.53504,2.40876
-0.5,4.5,4.60957,-3.62174,11.80099,-3.37908,2.32212
-0.5,5,4.81752,-3.44846,11.45442,-3.22312,2.23547
0,-5,2.23547,-3.29249,11.41976,-3.32710,4.83485
0,-4.5,2.32212,-3.48311,11.80099,-3.50038,4.60957
0,-4,2.40876,-3.65640,12.16490,-3.69100,4.43628
0,-3.5,2.49541,-3.82969,12.51148,-3.84695,4.24566
0,-3,2.56472,-3.96832,12.82340,-4.00291,4.08970
0,-2.5,2.66870,-4.10695,13.08333,-4.10688,3.91640
0,-2,2.75535,-4.21093,13.32594,-4.24551,3.76044
0,-1.5,2.85932,-4.29757,13.49923,-4.31483,3.60448
0,-1,2.96330,-4.34956,13.62053,-4.38414,3.46584
